Station Code,Water Quality,Locations,State Name,TEMPERATURE (degree Centigrade)-Minimum,TEMPERATURE (degree Centigrade)-Maximum,TEMPERATURE (degree Centigrade)-Mean,Dissolved Oxygen(D.O.) (mg/l)-Minimum,Dissolved Oxygen(D.O.) (mg/l)-Maximum,Dissolved Oxygen(D.O.) (mg/l)-Mean,pH-Minimum,pH-Maximum,pH-Mean,CONDUCTIVITY (µmhos/cm)-Minimum,CONDUCTIVITY (µmhos/cm)-Maximum,CONDUCTIVITY (µmhos/cm)-Mean,Biochemical oxygen demand (B.O.D.) (mg/l)-Minimum,Biochemical oxygen demand (B.O.D.) (mg/l)-Maximum,Biochemical oxygen demand (B.O.D.) (mg/l)-Mean,NITRATE- N+ NITRITE-N (mg/l)-Minimum,NITRATE- N+ NITRITE-N (mg/l)-Maximum,NITRATE- N+ NITRITE-N (mg/l)-Mean,FECAL COLIFORM (MPN/100ml)-Minimum,FECAL COLIFORM (MPN/100ml)-Maximum,FECAL COLIFORM (MPN/100ml)-Mean,TOTAL COLIFORM (MPN/100ml)-Minimum,TOTAL COLIFORM (MPN/100ml)-Maximum,TOTAL COLIFORM (MPN/100ml)-Mean,FLUORIDE(mg/l)-Minimum,FLUORIDE(mg/l)-Maximum,FLUORIDE(mg/l)-Mean
1366,"""WATER QUALITY OF TRIBUTARY STREAMS- CHAMBAL""","""CHAMBAL AT NAGDA DOWNSTREAM""","""MADHYA PRADESH""",25,37,28.9,3.1,6.8,5.6,6.5,8.2,7.4,383,9880,5357,1.5,42,18.4,0.63,5.25,2.89,NA,NA,NA,NA,280,146,NA,NA,NA
2955,"""WATER QUALITY OF TRIBUTARY STREAMS- CHAMBAL""","""CHAMBAL ENTERING IN RAJASTHAN AT GANDHI SAGAR DAM- KOTA""","""RAJASTHAN""",23,31,27.5,4.2,7.5,5.5,7.6,8.6,8.2,300,420,368,0.1,2.8,1.3,0.02,0.74,0.23,3,4,3,4,90,50,NA,NA,NA
1418,"""WATER QUALITY OF TRIBUTARY STREAMS- CHAMBAL""","""CHAMBAL AT GANDHI SAGAR DAM- RAMPURA""","""MADHYA PRADESH""",22,32,25.8,7.2,7.5,7.4,7.2,7.6,7.4,273,516,380,1,3,2,0.1,1.1,0.6,NA,NA,NA,NA,110,58,NA,NA,NA
1288,"""WATER QUALITY OF TRIBUTARY STREAMS- CHAMBAL""","""CHAMBAL AT KOTA UPSTREAM (INTAKE PT. NEAR BARRAGE)""","""RAJASTHAN""",21,35,28.5,4.4,7.8,5.9,7.1,8.2,7.8,320,510,388,0.7,2.9,1.5,0.08,0.98,0.38,3,4,3,3,1600,934,NA,NA,NA
1289,"""WATER QUALITY OF TRIBUTARY STREAMS- CHAMBAL""","""CHAMBAL AT KOTA DOWNSTREAM""","""RAJASTHAN""",18,31,26.8,3.3,7.6,5.5,7.5,8.9,8.1,280,700,515,0.7,4.7,2.1,0.14,1.2,0.43,3,7,5,9,1600,512,NA,NA,NA
1413,"""WATER QUALITY OF TRIBUTARY STREAMS- CHAMBAL""","""CHAMBAL AT RAMESHWARGHAT NR. SAWAIMADHOPUR""","""RAJASTHAN""",18,29,26,3.5,7.8,5.6,7.2,8.5,8,320,580,473,0.2,3.7,1,0.08,1.76,0.62,3,4,3,3,15000,12250,NA,NA,NA
1609,"""WATER QUALITY OF TRIBUTARY STREAMS- CHAMBAL""","""CHAMBAL AT DHOLPUR""","""MADHYA PRADESH""",20,29,25.1,6.2,9.5,8,7.2,8.2,7.6,580,769,665,1.2,4.2,2.1,0,1.4,0.48,NA,NA,NA,NA,160000,30833,NA,NA,NA
1376,"""WATER QUALITY OF TRIBUTARY STREAMS- CHAMBAL""","""CHAMBAL AT ETAWAH B/C YAMUNA""","""UTTAR PRADESH""",15,36,27.6,5.6,16.5,9.2,7.7,8.8,8.3,232,1352,572,1,3,1.8,NA,NA,NA,400,40000,5240,900,70,70,NA,NA,NA
1432,"""WATER QUALITY OF TRIBUTARY STREAMS- PARVATI""","""PARVATI NEAR VILLAGE BATAODAPAR""","""MADHYA PRADESH""",25.5,32,27.5,6.9,10.1,8.4,7.2,8,7.6,204,401,342,1.2,3.2,2.1,NA,NA,NA,NA,NA,NA,NA,170,65,NA,NA,NA
1615,"""WATER QUALITY OF TRIBUTARY STREAMS- PARVATI""","""PARVATI NEAR INTAKE POINT PILLUKHEDI DISTT. RAJGARH""","""MADHYA PRADESH""",26.5,30,27.8,6.8,8.8,7.7,7.4,7.9,7.6,330,880,618,1.9,3.6,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2126,"""WATER QUALITY OF TRIBUTARY STREAMS- PARVATI""","""PARVATI A/C OF VINDHYACHAL NALLA- PILUKHEDI""","""MADHYA PRADESH""",20,26.8,22.6,5.9,7.9,7.2,7.3,7.9,7.6,118,736,474,2.5,4.3,3.4,1.1,3.08,1.92,21,140,75,170,NA,NA,NA,NA,NA
2954,"""WATER QUALITY OF TRIBUTARY STREAMS- PARVATI""","""PARVATI BEFORE MEETING RIVER CHAMBAL AT KHATOLI- KOTA""","""RAJASTHAN""",16,32,26.5,3.1,9.2,5.8,7.9,9.2,8.4,240,640,471,0.2,2.7,1.5,0.08,1.34,0.52,3,11,6,3,23,10,NA,NA,NA
1607,"""WATER QUALITY OF TRIBUTARY STREAMS- GOHAD DAM""","""GOHAD DAM- GOHAD""","""MADHYA PRADESH""",18,28,23.3,7.2,8.2,7.8,7.3,7.8,7.5,560,730,642,1.2,4.1,2.4,0,0.63,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
1367,"""WATER QUALITY OF TRIBUTARY STREAMS- KHAN""","""KHAN AT KABIT KHEDI (NR INDORE)""","""MADHYA PRADESH""",NA,NA,NA,8.6,8.6,8.6,7.6,7.6,7.6,219,219,219,1.3,1.3,1.3,0.03,0.03,0.03,NA,NA,NA,34,20,7,NA,NA,NA
1369,"""WATER QUALITY OF TRIBUTARY STREAMS- KSHIPRA""","""KSHIPRA AT RAMGHAT AT UJJAIN""","""MADHYA PRADESH""",23,32,27.3,2.3,7.2,6.1,7.7,8.7,8.2,220,1600,1015,1.9,28,13.7,0.01,4.29,1.6,NA,NA,NA,NA,1100,107,NA,NA,NA
1370,"""WATER QUALITY OF TRIBUTARY STREAMS- KSHIPRA""","""KSHIPRA AT TRIVENISANGAM""","""MADHYA PRADESH""",24,32,27.7,6.2,7.5,6.9,7.2,8,7.6,196,1450,913,0.8,18,9,0.62,6.78,3.01,NA,NA,NA,NA,14,6,NA,NA,NA
1468,"""WATER QUALITY OF TRIBUTARY STREAMS- KSHIPRA""","""KSHIPRA AT SIDDHAWAT (DOWNSTREAM)""","""MADHYA PRADESH""",22,32,27.6,1.2,8.1,5.9,7.1,8.6,7.9,423,1650,1053,1.6,20,12.3,0.02,4.2,1.95,NA,NA,NA,NA,NA,NA,NA,NA,NA
2953,"""WATER QUALITY OF TRIBUTARY STREAMS- KALI SINDH""","""KALI SINDH AT ANICUT OF M/S CFCL GADEPAN- KOTA""","""RAJASTHAN""",15,29,25.5,3.2,9,5.4,7.2,8.5,7.9,240,560,421,0.3,3.2,1.3,0.02,1.76,0.67,3,7,5,4,90000,15460,NA,NA,NA
2956,"""WATER QUALITY OF TRIBUTARY STREAMS- KALI SINDH""","""KALI SINDH AT BAROD RD BDG- KOTA""","""RAJASTHAN""",16,32,26.2,3.8,9.3,5.5,7.6,8.9,8.2,260,740,535,0.3,2.8,1.7,0.08,1.54,0.57,3,7,4,3,NA,NA,NA,NA,NA
1608,"""WATER QUALITY OF TRIBUTARY STREAMS- SINDH""","""SINDH AT DABRA""","""MADHYA PRADESH""",18,29,22.3,7.8,8.1,8,7.6,8.3,8,670,1100,897,1.6,2.4,1.9,0,0.6,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
2117,"""WATER QUALITY OF TRIBUTARY STREAMS- BICHIA""","""BICHIA- BRIDGE GOVINDGARH ROAD""","""MADHYA PRADESH""",20.5,26.8,23.1,4.6,6.8,5.7,7.2,7.9,7.7,129,1660,884,3.7,8.5,6.5,1.51,4.84,2.8,27,280,162,200,900,422,NA,NA,NA
1433,"""WATER QUALITY OF TRIBUTARY STREAMS- SANKH""","""SANKH AT TIGRA RESERVOIR""","""MADHYA PRADESH""",20,28.5,22.6,6.3,8.3,7.7,7.1,8.4,7.6,500,890,693,1.3,2.8,2,0.1,0.4,0.3,NA,NA,NA,NA,210,49,NA,NA,NA
